name,url,roster_fetched_at
DevBcn 2026,https://www.devbcn.com,
Devoxx Poland 2026,https://devoxx.pl/,
DevTalks 2026,https://devtalks.ro,
J-Spring 2026,https://jspring.nl,
jPrime 2026,https://jprime.io,
Voxxed Days Luxembourg 2026,https://luxembourg.voxxeddays.com/,
Code Remix Summit 2026,https://coderemix.ai/,
Devoxx UK 2026,https://www.devoxx.co.uk,
GeeCON 2026,https://2026.geecon.org/,
JAlba 2026,https://jalba.scot/,
JAX 2026,https://jax.de/mainz/,
JCON Slovenia 2026,https://slovenia.jcon.one/,
JJUG CCC 2026 Spring,https://ccc2026spring.java-users.jp/,
JNation 2026,https://jnation.pt/,
KotlinConf 2026,https://kotlinconf.com/,
Devoxx France 2026,http://devoxx.fr/,
Devoxx Greece 2026,https://devoxx.gr/,
Java Day Istanbul 2026,https://javaday.istanbul,
JCON EUROPE 2026,https://2026.europe.jcon.one/,
Spring I/O 2026,https://2026.springio.net/,
Voxxed Days Amsterdam 2026,https://amsterdam.voxxeddays.ch/,
Voxxed Days Bucharest 2026,https://romania.voxxeddays.com/voxxed-days-bucharest-2026/,
Devnexus 2026,https://devnexus.com/,
Digital Crafts Day 2026,https://dc-nordoberpfalz.de/DigitalCraftsDay/2026,
JavaLand 2026,https://www.javaland.eu/,
JavaOne 2026,https://www.oracle.com/javaone/,
Voxxed Days Zurich 2026,https://zurich.voxxeddays.ch/,
ConFoo 2026,https://confoo.ca/en/2026,
FOSDEM 2026,https://fosdem.org/2026/,
Jfokus 2026,https://www.jfokus.se/,
Voxxed Days CERN 2026,https://cern.voxxeddays.ch/,
Voxxed Days Ticino 2026,https://ticino.voxxeddays.ch/,
jChampions 2026,https://jchampionsconf.com/index.html,
JakartaOne Livestream 2025,https://jakartaone.org/2025/,
Ya!vaConf 2025,https://yavaconf.com/en/,
ChurConf 2025,https://churconf.com,
Devoxx Morocco 2025,https://devoxx.ma,
J-Fall 2025,https://jfall.nl,
JJUG CCC 2025 Fall,https://ccc2025fall.java-users.jp/,
Voxxed Days Thessaloniki 2025,https://voxxeddays.com/thessaloniki/,
W-JAX 2025,https://jax.de/muenchen,
XtremeJ 2025,https://xtremej.dev/2025/,
Øredev 2025,https://oredev.org/,
BaselOne 2025,https://baselone.org/,
BED-Con 2025,https://bed-con.org/,
dev2next 2025,https://www.dev2next.com/,
DEVJVM 2025,https://devjvm.com/,
Devoxx Belgium 2025,https://devoxx.be,
I Code Java Africa 2025,https://j-sa.co/,
JavaCro 2025,https://2025.javacro.hr/eng/,
JCON USA @ IBM TechXchange 2025,https://usa.jcon.one/,
Confitura 2025,https://2025.confitura.pl,
Java Forum Nord 2025,https://javaforumnord.de/2025/,
JavaZone 2025,https://2025.javazone.no/en,
JCConf Taiwan 2025,https://jcconf.tw/2025/,
JUG Saxony Day 2025,https://jugsaxony.org/day/,
KCDC 2025,https://www.kcdc.info/,
Java Forum Stuttgart 2025,https://www.java-forum-stuttgart.de/,
JConf Dominicana 2025,https://jconfdominicana.org/,
betterCode() Spring 2025,https://spring.bettercode.eu/index.php,
JConf Mexico 2025,https://jconf.mx/,
JJUG CCC 2025 Spring,https://ccc2025spring.java-users.jp/,
JOnsen 2025,https://www.jonsen.jp/,
JSail 2025,https://jsail.ijug.eu/,
OpenSouthCode 2025,https://www.opensouthcode.org/conferences/opensouthcode2025,
JAX Hybrid 2025,https://jax.de/mainz,
JCON OpenBlend Slovenia 2025,https://slovenia.jcon.one,
New England Software Symposium 2025,https://nofluffjuststuff.com/boston,
Spring.io 2025,https://2025.springio.net,
Voxxed Days Ioannina 2025,https://ioannina.voxxeddays.com/,
"Community Day for Java - 2025, Ahmedabad",https://www.gujaratjug.org/community-day-for-java-2025,
Gateway Software Symposium 2025,https://nofluffjuststuff.com/stlouis,
GIDS (Great Indian Developer Summit) 2025,https://developersummit.com,
JDConf 2025,https://jdconf.com/,
JPoint 2025,https://jpoint.ru/,
